cfbd_game_id,sched_game_id,season,week,date,home,away,home_margin,home_win,diff_Id,diff_PregameElo,elevation,latitude,longitude,capacity,homeConference_American Athletic,homeConference_Big 12,homeConference_Big East,homeConference_Big Sky,homeConference_Big South,homeConference_Big Ten,homeConference_CAA,homeConference_Conference USA,homeConference_FBS Independents,homeConference_Ivy,homeConference_Mid-American,homeConference_Mountain West,homeConference_OVC,homeConference_Pac-10,homeConference_Pac-12,homeConference_SEC,homeConference_Sun Belt,homeConference_Western Athletic,awayConference_AWC,awayConference_American Athletic,awayConference_Atlantic 10,awayConference_Atlantic Sun,awayConference_Big 12,awayConference_Big East,awayConference_Big Sky,awayConference_Big South,awayConference_Big South-OVC,awayConference_Big Ten,awayConference_CAA,awayConference_Conference USA,awayConference_FBS Independents,awayConference_FCS Independents,awayConference_Great West,awayConference_MEAC,awayConference_MVFC,awayConference_Mid-American,awayConference_Mountain West,awayConference_NEC,awayConference_OVC,awayConference_Pac-10,awayConference_Pac-12,awayConference_Patriot,awayConference_Pioneer,awayConference_SEC,awayConference_SWAC,awayConference_Southern,awayConference_Southland,awayConference_Sun Belt,awayConference_UAC,awayConference_Unknown,awayConference_Western Athletic,conf_home_aac,conf_home_acc,conf_home_big-east,conf_home_big10,conf_home_big12,conf_home_cusa,conf_home_ind,conf_home_mac,conf_home_mwc,conf_home_pac12,conf_home_sec,conf_home_sun-belt,conf_home_wac,conf_away_aac,conf_away_acc,conf_away_big-east,conf_away_big10,conf_away_big12,conf_away_cusa,conf_away_ind,conf_away_mac,conf_away_mwc,conf_away_pac12,conf_away_sec,conf_away_sun-belt,conf_away_wac
24454,13352,2018,6.0,2018-10-06,UCLA,Washington,-7.0,0,-238,-530.0,245.1772461,34.1613284,-118.1676462,88565.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
24455,13353,2018,6.0,2018-10-06,UTEP,North Texas,-3.0,0,2389,-580.0,1183.697876,31.7733353,-106.507957,51500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
24456,13354,2018,6.0,2018-10-06,Georgia,Vanderbilt,28.0,1,-177,460.0,186.1120758,33.9498197,-83.3733813,92746.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
24452,13355,2018,6.0,2018-10-06,Wisconsin,Nebraska,17.0,1,117,568.0,263.604126,43.06994,-89.4126943,80321.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
24453,13356,2018,6.0,2018-10-06,Mississippi State,Auburn,14.0,1,342,-151.0,110.2742081,33.4563403,-88.7933652,61337.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
24457,13357,2018,6.0,2018-10-06,Virginia Tech,Notre Dame,-22.0,0,172,-102.0,632.2631226,37.2199873,-80.4180643,65632.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
24458,13358,2018,6.0,2018-10-06,New Mexico State,Liberty,8.0,1,-2169,-270.0,1208.201294,32.2796202,-106.7411148,28853.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
24459,13359,2018,6.0,2018-10-06,Oregon State,Washington State,-19.0,0,-61,-499.0,66.90744781,44.5594559,-123.2814341,43363.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
24462,13360,2018,6.0,2018-10-06,Arizona,California,7.0,1,-13,-54.0,742.1530151,32.2288054,-110.9488677,50782.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
24465,13361,2018,6.0,2018-10-06,Nevada,Fresno State,-18.0,0,2162,-309.0,1406.57605,39.5469459,-119.8175435,27000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
